task_name,index,prompt,answer,attribute
nli,1,"전제: 펀딩이 중단되면 취소되지 않은 후원금까지 모두 반환된다. 가설: 펀딩이 중단되면 2일 이내에 취소되지 않은 후원금까지 모두 반환된다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",1
nli,2,"전제: 펀딩이 중단되면 취소되지 않은 후원금까지 모두 반환된다. 가설: 펀딩이 중단되면 모든 후원금이 반환된다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",0
nli,3,"전제: 펀딩이 중단되면 취소되지 않은 후원금까지 모두 반환된다. 가설: 펀딩이 중단되면 취소된 후원금만 반한된다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",2
nli,4,"전제: 다문화가족을 바라보는 우리의 시선이 바뀌어야 합니다. 가설: 다문화 가족을 바라보는 우리의 시선은 이미 완전히 바뀌었습니다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",2
nli,5,"전제: 다문화가족을 바라보는 우리의 시선이 바뀌어야 합니다. 가설: 다문화 가족은 우리 주변에 많습니다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",1
nli,6,"전제: 다문화가족을 바라보는 우리의 시선이 바뀌어야 합니다. 가설: 다문화 가족을 바라보는 우리의 시선에 변화가 필요합니다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",0
nli,7,"전제: 하지만 방음이 안되는 점은 조금 아쉬웠어요 가설: 방음은 철저했어요. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",2
nli,8,"전제: 하지만 방음이 안되는 점은 조금 아쉬웠어요 가설: 방음이 안되서 밤에 잠을 잘 못잤어요. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",1
nli,9,"전제: 하지만 방음이 안되는 점은 조금 아쉬웠어요 가설: 아쉬운 점은 방음이 안되는 거였어요. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",0
nli,10,"전제: 짐을 정리하던 중 한 점의 미술 작품을 발견하고 해나는 고등학교 시절 추억에 잠긴다. 가설: 해나는 대학생이다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",1
nli,11,"전제: 짐을 정리하던 중 한 점의 미술 작품을 발견하고 해나는 고등학교 시절 추억에 잠긴다. 가설: 해나는 짐을 정리한다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",0
