id,question,answer,category,select1,select2,select3,select4
14d22301d66544c899a24934aa758982,"'우겨넣다'이 바른 말이면 1, '욱여넣다'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,가방에 신발을 욱여넣었다. ,가방에 신발을 우겨넣었다. ,,
0f40453d58694be488742b60393117e0,"'귀뜸'이 바른 말이면 1, '귀띔'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,귀띔이라도 해주지 그랬어. ,귀뜸이라도 해주지 그랬어. ,,
a5f49e1030204549a633cad2e6e66776,"'달맏이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해.",3,알쏭달쏭 우리말,정월 대보름 달맞이 행사가 열린다. ,정월 대보름 달맏이 행사가 열린다. ,정월 대보름 달마지 행사가 열린다. ,
8df2cb8da0cc4583bf7a690816f1f0cb,"'새벽녁'이 바른 말이면 1, '새벽녘'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,새벽녘에 서리가 내렸다. ,새벽녁에 서리가 내렸다. ,,
cc1752dc5d094c7a895cfb70111629f5,"'베갯잎'이 바른 말이면 1, '베갯잇'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,베갯잇을 눈물로 적시다.,,,
eb02e3d47d6f4869b2a18d9de557c692,"'뾰쪽뾰쪽'이 바른 말이면 1, '뾰쭉뾰쭉'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,뾰쪽뾰쪽 솟은 날카로운 바위.,,,
0a3b19008b0346daade7dd1def82d21d,"'알은 체'이 바른 말이면 1, '아는 체'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,그가 나를 알은체하며 지나갔다.,,,
88a400f8b15b4c638e36a91a81dd310d,"'챙피'이 바른 말이면 1, '창피'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,네 얼굴 보기가 창피하다.,,,
4d9833c643024e3f8e51d5020b4f712b,"'껍질'이 바른 말이면 1, '껍데기'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,달걀 껍데기는 따로 버려요. ,달걀 껍질은 따로 버려요. ,,
30ac7cbf6b94445f876631313cc958a2,"'쌓인'이 바른 말이면 1, '쌓여진'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,낙엽이 쌓인 거리를 혼자 걸었다.,,,
fcd6ee4d173740a284850c7e2e24b501,"'구레나룻'이 바른 말이면 1, '구렛나루'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,구레나룻은 매력적이다.,,,
12a9c2fd838147c3b12c8d98dc252247,"'짜투리'이 바른 말이면 1, '자투리'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,자투리 나무로 만드는 소품,,,
3a71b779588b44b7ace03993b7c53102,"'있다가'이 바른 말이면 1, '이따가'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,집에 있다가 나왔어요.,,,
b81447400bd64c70b82aac977ef0c541,"'통째로'이 바른 말이면 1, '통채로'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,닭 한 마리가 통째로 들어간 삼계탕,,,
940ea131532542fa91f1f1b98bc501c7,"'내디뎠다'이 바른 말이면 1, '내딛었다'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,힘찬 발걸음을 내디뎠다.,,,
1f66fe15f5434ab6b4a3ce0825770196,"'교통양'이 바른 말이면 1, '교통량'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,그 구역은 교통량이 밀집되었다.,,,
0271f5e9f1c04285ae09bff15d735885,"'새다'이 바른 말이면 1, '세다'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,낡은 지붕에서 비가 새다.,,,
362f0f3b5dd0491b92ae5e4759c3f2c8,"'가까히'이 바른 말이면 1, '가까이'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,두 시간 가까이 기다렸다. ,두 시간 가까히 기다렸다. ,,
a52d5bef18b94b4598107b0165ebf85d,"'반드시'이 바른 말이면 1, '반듯이'이 바른 말이면 2, '반듯히'이 바른 말이면 3라고 대답해.",2,알쏭달쏭 우리말,자세를 반듯이 해 보세요. ,자세를 반드시 해 보세요. ,자세를 반듯히 해 보세요 ,
3da3e7ce6a6a4e1e83d8132a6b02cf74,"'아는 대로'이 바른 말이면 1, '아는 데로'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,아는 대로 모두 말해.,,,
a98d6a78c1fb4cf395180d54745704de,"'날름'이 바른 말이면 1, '낼름'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,혀를 날름 내미는 버릇.,,,
a562e9971aa84189a5956c16f1cb8877,"'고깝다'이 바른 말이면 1, '꼬깝다'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,괜히 고까운 생각이 들더라.,,,
0412d20af9054db38b2abc18192d3e0d,"'자욱'이 바른 말이면 1, '자국'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,얼굴에 눈물 자국이 선명하다.,,,
418ec9138cf6498facac7dcd1ebef7c0,"'낚지'이 바른 말이면 1, '낙지'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,낙지 요리를 시켰다. ,낚지 요리를 시켰다. ,,
b9b28553bb1649a09cd6c9b69099d53f,"'감기가 나아서'이 바른 말이면 1, '감기가 낳아서'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,감기가 나아서 살 것 같다.,,,
b7e5d7b7e3ea415e808ee0d3dd9451f9,"'앉히자'이 바른 말이면 1, '안치자'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,배고프니까 밥부터 안치자.,,,
436460f888b0457780494b64a1f6019c,"'매치기'이 바른 말이면 1, '메치기'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,우리 선수가 메치기에 성공했다. ,우리 선수가 매치기에 성공했다. ,,
b3c9ed2695ab41d5ab6f83d7249787b5,"'붙박이장'이 바른 말이면 1, '붙받이장'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,기본으로 붙박이장을 제공한다.,,,
b2a3c9a6be1b4394b4edac64963049fe,"'정나미'이 바른 말이면 1, '정내미'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,갑자기 정나미가 뚝 떨어진다.,,,
5ad5a250c54d4476bd913b7cc6b7c63e,"'다르다'이 바른 말이면 1, '틀리다'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,내 생각은 너랑 달라. ,내 생각은 너랑 틀려. ,,
6d6e63e6555c468ab1a2580420dda666,"'체지방량'이 바른 말이면 1, '체지방양'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,체지방량을 줄이세요. ,체지방양을 줄이세요. ,,
97b814c2dd034cabb0ee5bf8cb7b096b,"'덮인'이 바른 말이면 1, '덮힌'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,눈 덮인 백두대간,,,
f1b9fb68329344d9b0c4978c0740b1f5,"'발간 년도'이 바른 말이면 1, '발간 연도'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,이 책 발간 연도를 보세요. ,이 책 발간 년도를 보세요. ,,
f920faa9526748d29eec37139c87ea48,"'달디달다'이 바른 말이면 1, '다디달다'이 바른 말이면 2라고 대답해.",2,알쏭달쏭 우리말,초콜릿이 다디달다. ,초콜릿이 달디달다. ,,
37d93177f6d04ebaaf0be2f6ef1add8b,"'애당초'이 바른 말이면 1, '애시당초'이 바른 말이면 2라고 대답해.",1,알쏭달쏭 우리말,애당초 잘못되었다.,,,
